City,Longitude,Lattitude,Population
Kyiv,50.45,30.5236,2963199
Kharkiv,50,36.2292,1446107
Odesa,46.4775,30.7326,1017699
Dnipro,48.4675,35.04,980948
Donetsk,48.0089,37.8042,929063
Zaporizhzhia,47.8378,35.1383,741717
Lviv,49.8419,24.0315,724314
Sevastopol,44.6,33.5333,509992
Mykolaiv,46.9667,32,498748
Mariupol,47.1306,37.5639,449498
Luhansk,48.5833,39.3333,417990
Vinnytsia,49.2167,28.4333,371855
Simferopol,44.9484,34.1,341799
Makiivka,48.0556,37.9611,343158
Poltava,49.5744,34.5686,317847
Chernihiv,51.4939,31.2947,294522
Kherson,46.6333,32.6,291428
Cherkasy,49.4444,32.0597,276360
Khmelnytskyi,49.42,27,274176
Zhytomyr,50.2544,28.6578,264452
Chernivtsi,48.2908,25.9344,266550
Sumy,50.9068,34.7992,265758
Rivne,50.6197,26.2514,246574
Ivano-Frankivsk,48.9228,24.7106,236602
Kropyvnytskyi,48.5103,32.2667,227413
Ternopil,49.5667,25.6,218653
Lutsk,50.7478,25.3244,216505
Kramatorsk,48.7208,37.5556,159445
Kerch,45.3386,36.4681,149566
Khrustalnyi,48.1214,38.9453,124000
Uzhhorod,48.6239,22.295,114897
Sloviansk,48.87,37.625,113196
Yevpatoriia,45.2,33.3583,106158
