IDPs,Killed,Injured,Date
N/A,0,0,1/1/2022
N/A,0,0,20/2/2022
N/A,249,553,3/3/2022
N/A,331,675,4/3/2022
N/A,351,707,5/3/2022
N/A,364,759,6/3/2022
N/A,406,801,7/3/2022
N/A,474,861,8/3/2022
N/A,516,908,9/3/2022
N/A,549,957,10/3/2022
N/A,564,982,11/3/2022
N/A,579,1002,12/3/2022
N/A,596,1067,13/3/2022
1900000,636,1125,14/3/2022
1900000,691,1143,15/3/2022
1900000,780,1252,16/3/2022
1900000,816,1333,17/3/2022
6500000,902,1459,20/3/2022
6500000,925,1496,21/3/2022
6500000,953,1557,22/3/2022
6500000,977,1594,23/3/2022
6500000,1035,1650,24/3/2022
6500000,1081,1707,25/3/2022
6500000,1081,1707,26/3/2022
6500000,1119,1790,27/3/2022
6500000,1151,1824,28/3/2022
6500000,1179,1860,29/3/2022
6500000,1189,1901,30/3/2022
6500000,1232,1935,31/3/2022
7138715,1276,1981,1/4/2022
7138715,1325,2017,2/4/2022
7138715,1417,2038,3/4/2022
7138715,1430,2097,4/4/2022
7138715,1480,2195,5/4/2022
7138715,1563,2213,6/4/2022
7138715,1611,2227,7/4/2022
7138715,1626,2267,8/4/2022
7138715,1766,2383,9/4/2022
7138715,1793,2439,10/4/2022
7138715,1842,2493,11/4/2022
7138715,1892,2558,12/4/2022
7138715,1932,2589,13/4/2022
7138715,1964,2613,14/4/2022
7138715,1982,2615,15/4/2022
7138715,1982,2651,16/4/2022
7707000,1982,2651,17/4/2022
7707000,2072,2818,18/4/2022
7707000,2104,2862,19/4/2022
7707000,2224,2897,20/4/2022
7707000,2345,2919,21/4/2022
7707000,2435,2946,22/4/2022
7707000,2665,3053,25/4/2022
7707000,2729,3111,26/4/2022
7707000,2787,3152,27/4/2022
7707000,2829,3180,28/4/2022
7707000,2899,3235,29/4/2022
7707000,2899,3235,30/4/2022
7707000,3153,3316,2/5/2022
8029000,3193,3353,3/5/2022
8029000,3238,3397,4/5/2022
8029000,3280,3451,5/5/2022
8029000,3309,3493,6/5/2022
8029000,3309,3493,7/5/2022
8029000,3381,3680,9/5/2022
8029000,3459,3713,10/5/2022
8029000,3496,3760,11/5/2022
8029000,3541,3785,12/5/2022
8029000,3573,3816,13/5/2022
8029000,3668,3896,16/5/2022
8029000,3752,4062,17/5/2022
8029000,3778,4186,18/5/2022
